standard_inchi_key,canonical_smiles
WXDYTQVSIHLOCQ-AADKRJSRSA-N,NCC(=O)N1C(C(=O)O)CSC1c1ccco1
PUYUEZYEZDGPGV-UHFFFAOYSA-N,O=C(C1CCN(c2nc3ccc(Br)cc3s2)CC1)N1CCC2(CC1)OCCO2
SCIAMDMLNUMNAD-UHFFFAOYSA-N,Oc1[nH]c2ccccc2c1C1=NCCCCC1
CLWWQJDXKMLVAQ-QWZYCTBNSA-N,CNC(=O)C(NC(=O)C(O)(CCCN(Cc1ccc(-c2cccnc2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)(C)C
JGMQGUHZNMECOW-FYJGNVAPSA-N,CC(CC(=O)N(C(C)C)C(C)C)=NNC(=O)COc1ccc(Br)cc1Br
YYWZGBCBOAQZIN-ONEGZZNKSA-N,Cc1noc(C=Cc2nn(C)cc2Cl)c1[N+](=O)[O-]
YOTVFNWGUZMWKO-HEVIKAOCSA-N,Cc1cccc(C)c1N(CC(=O)NC(Cc1ccccc1)C(O)CN(CC(C)C)S(=O)(=O)c1ccc(CO)cc1)CC(=O)N1CCOCC1
YLTJAIDCLNBPHP-CXUHLZMHSA-N,CCOC(=O)CCc1c(CC(=O)OCC)c[nH]c1C=NO
JYRYZPFLADYPRQ-OWHBQTKESA-N,CC(C)(C)NC(=O)c1ccccc1OCC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O
HVANVFGWLJJBBD-UHFFFAOYSA-N,Sc1nnc(CSCc2ccccc2Cl)n1-c1ccccc1
NNWRLKUGUQSYER-GRKNLSHJSA-N,COc1cc(CN2C(=O)N(Cc3ccc(O)c(OC)c3)N(C(=O)CCc3ccncc3)CC(O)C2Cc2ccccc2)ccc1O
RJVCIMWGQYPKEF-UHFFFAOYSA-N,O=C(O)c1cccc(Nc2c3ccccc3nc3ccccc23)c1
TULMGZHFDPHPQU-UHFFFAOYSA-N,CC1Cc2nc(SCC(=O)Nc3ccc4c(c3)OCCO4)n(C)c(=O)c2S1
PASDQYKMAPXPBD-UHFFFAOYSA-N,Clc1ccc(OCCCc2nc(-c3cccnc3)no2)c(Cl)c1
ZKVRULACOMHFJB-UHFFFAOYSA-N,CCOCc1nnc(NC(=O)c2ccco2)s1
WQSHEPAFFTVLAP-UHFFFAOYSA-N,c1ccc2c3c([nH]c2c1)-c1n[nH]cc1CC3
HRKVSQNBSGFSQY-UHFFFAOYSA-N,Cc1cc(C)c(S(=O)(=O)N2CCC(C(=O)NCc3ccc(Cl)cc3Cl)CC2)c(C)c1
YNHQGIBERXFBRH-UHFFFAOYSA-N,CCOc1ccccc1N(CC(=O)Nc1ccc(OC)cc1OC)S(=O)(=O)c1ccccc1
HZSADKRNPPIODV-UHFFFAOYSA-N,Cc1oc2cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c2c1C(=O)c1ccc(Cl)cc1
SCRQPWJGRHEZLN-QAFZHGILSA-N,CC(=O)NC1C(NC(=N)N)C=C(C(=O)O)OC1C(OC(=O)NCCCNC(=O)c1ccc2ccccc2c1O)C(O)CO
FWIHOYMHAFKCEN-UHFFFAOYSA-N,CC(=O)c1c(O)cc(C)n(Nc2nc(C)cc(C)n2)c1=O
OWKAHRHEDRVZBK-MDWZMJQESA-N,C(=NNc1nc2ccccc2[nH]1)c1cccs1
NKKNLQBFWFWENA-UHFFFAOYSA-N,CCCc1cc(NCN2C(=O)c3ccccc3C2=O)c(O)nc1C
VYEQZGYVUGRLAN-OTMDESPRSA-N,COc1ccc(CNC(C(=O)NC2c3ccccc3CC2O)C(O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2ccc(OC)c(O)c2)C(C)(C)C)cc1
KBJNRFNNBMDFFK-IYVAYJQYSA-N,CC1(C)CCCC2(C)OC3CCC(C)(C4CCC5(C)C4CCC4(C)c6c(OS(=O)(=O)O)ccc(OS(=O)(=O)O)c6CC45)C3(C)CCC12
UWWCDLPCPYJUOP-UHFFFAOYSA-N,COc1cccc(C2=CC(=O)CC(C)(C)C2)c1
WTTJTWCVZLAQTG-URLMMPGGSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)CC(O)C(Cc2cccc(-c3ccc4c(c3)OCO4)c2)NC(=O)OC(C)(C)C)cc1
VEDJOJFRQFSFGQ-UHFFFAOYSA-N,C=C(C)Cn1c(C2CC(=O)N(c3ccccc3F)C2)nc2ccccc21
AHKNXRZCLMTOCQ-DRMZMZSTSA-N,CC(=O)NC(C(=O)NC(C(=O)NC(CO)C(=O)NC(C)C(=O)C(F)(F)F)C(C)C)C(C)C
YEMSFVVYSAHUHY-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1c(O)n(O)c(=O)c2cc([N+](=O)[O-])ccc12
QFWCYNPOPKQOKV-UHFFFAOYSA-N,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N
GVBPHNROJVCVBR-UHFFFAOYSA-N,Cc1ccccc1-n1c(N)cc(=O)[nH]c1=S
HYEYJAPSLHHBLG-UHFFFAOYSA-N,CC(C)c1nc(N2CCCC2)c(C#N)c2c1CCCC2
UPZPQCZTJIHYGG-UHFFFAOYSA-N,CC1CCN(S(=O)(=O)c2cn(Cc3ccc(F)cc3)c3cnc4c(c23)CCN(O)C4=O)CC1
JWDAEHXXNUMMKQ-UHFFFAOYSA-N,N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c(-c4ccc(-c5nnn[nH]5)cc4)c3Cl)ccc2Cl)c1
HESMZQCHCXNOIK-QJPTWQEYSA-N,CC(=O)NC1C(N)CC(C(=O)O)=CC1OCC(C)C
GCEGOTUYYWDPTF-UHFFFAOYSA-N,N#Cc1cc(Cl)cc(Oc2c(Br)ccc(Cc3n[nH]c4c(N)cccc34)c2F)c1
CPMZWDDDPRCVHU-UHFFFAOYSA-N,O=C(Nc1cccc(C(F)(F)F)c1)c1cnc2n(c1=O)CCS2
YQHUXSFPUWHNEN-HAHDFKILSA-N,O=C(O)c1ccc(Cl)cc1-c1ccc(C=C2C(=O)N(c3ccc(F)cc3)N=C2c2ccccc2)o1
JCCZIDHWCRTLMF-UHFFFAOYSA-N,CN(C)C(=O)Cn1c(-c2cccc(F)c2)c(C2CCCCC2)c2ccc(C(=O)O)cc21
VSLLDGVLRHLWCY-UHFFFAOYSA-N,O=C(O)c1cn(Cc2ccc(Cl)c(Cl)c2)cc(O)c1=O
GHPMIBNDBNJHAL-UHFFFAOYSA-N,Cc1cc(C)cc(Oc2c(C(C)C)c(=O)[nH]c(=O)n2CC2CCCCC2)c1
