standard_inchi_key,canonical_smiles
PAVAGVFYMGJVQT-XXZCBUDQSA-N,CCC(C)C(NC(=O)C(C(C)C)C(O)C(O)C(CC1CCCCC1)NC(=O)c1ccccc1OCSc1ccccc1)C(=O)NCc1nc2ccccc2[nH]1
HUFDZNLHNMTMPI-BGHDASBUSA-N,CC(C)(C)OC(=O)NC1CCCCCC=CC2CC2(C(=O)NS(=O)(=O)C2CC2)NC(=O)C2CC(OC(=O)N3Cc4ccc(C#N)cc4C3)CN2C1=O
PWEJSYALDYQGFY-DYFQPDDQSA-N,CC(C)C1NC(=O)C(C(O)C(Cc2ccccc2)NC(=O)OC2CCOC2)NCc2ccc(cc2)OCCOCCOCCNC1=O
RAXXNRHNSSEZHQ-SRVKXCTJSA-N,CC(C)CC(NC(=O)C(C)NC(=O)OC(C)(C)C)C(=O)NC(CC(F)F)C(=O)C(=O)O
BICAMIRRSOZCJF-UHFFFAOYSA-N,CC(C)(C)NC(=O)Nc1nc(Cl)c(CCCc2ccccc2)n(CC(=O)Nc2ccccc2C(=O)NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1=O
DUIWCJRIQOLTHY-QCYNBGBQSA-N,C=CC1CC1(NC(=O)C1CC(Oc2cc(-c3csc(NC(=O)CC)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O
ABIHLEYEGKUFDJ-UIRBXLFWSA-N,CCCCC(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(Cc1ccccc1C)NC(=O)C(COCc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CCC(=O)O)C(C)(C)C)C(=O)C(N)=O
AKCUAJSDIOXWAZ-UHFFFAOYSA-N,CNC(=O)c1c(-c2ccc(C)nc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5c(F)cccc5n3CC(N3CC(F)C3)C4)cc12
XDTXHCIKTJBKFI-UGEMNGJESA-N,C=CC1CC1(NC(=O)C1CC(Oc2cc(-c3csc(NC(C)C)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O
KGTDRFCXGRULNK-JYOBTZKQSA-N,COC(=O)C1c2cc3c(c(O)c2C(OC2OC(C)C(OC)C(C)(OC)C2OC)CC1(C)O)C(=O)c1c(O)cc2c(c1C3=O)OC1OC2(C)C(O)C(N(C)C)C1O
BUXHVNNYPWXFET-UHFFFAOYSA-N,CC(C)=CCOc1ccc(C2=C(CC(C)C)C(=O)N(CCC(=O)C(=O)NC3CC3)C2=O)cc1
VDGBZWPGNZQNMT-INIZCTEOSA-N,CCOC(=O)c1cnn(-c2ccc(C(=O)c3c(Cl)ccc(C(N)CC)c3F)cn2)c1
SKMGKCYNGDWRTO-RVLLKYMJSA-N,NC(=O)c1cccc(CN2C(=O)N3C(Cc4ccccc4)C3C(O)C2Cc2ccccc2)c1
ULDHJJHCUWLOLG-INIZCTEOSA-N,NC(c1ccc(Cl)c(C(=O)c2ccccc2)c1F)C1CC1
ZGQZLXSZBYZZLN-DOEKTCAHSA-N,Cc1c(O)cccc1C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NCc1ccccc1Cl
AMVNCHFDMFTEPN-NAYGYTMXSA-N,COc1ccc2c(OCC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6CC6)CC5C=CCCCCN(C)C(=O)N34)cc(-c3ccccc3)nc2c1
URHRYXMPBLWUFT-QCMNQGSGSA-N,CCC(C=O)NC(=O)C1CC(OC(=O)c2ccc3ccccc3c2)CN1C(=O)C(NC(=O)C(NC(=O)CCCCC(=O)O)C(C)C)C(C)C
YTOCFEHRXHCGHM-LJAQVGFWSA-N,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4nnn(C(COC)c5ccc(F)cc5)c(=O)c4c3)cc12
CQLFBAODQHOJAW-WNFNEINCSA-N,CN1CCC=CC2CC2(C(=O)NS(=O)(=O)C2CC2)NC(=O)C2CC(OC(=O)N3Cc4cccc(F)c4C3)CN2C(=O)C(NC(=O)OC(C)(C)C)CC1
WZOQJGOOSNLIJE-UHFFFAOYSA-N,Cc1ccc2oc(=O)c3cc(N)ccc3c2c1
WXRWKGMYVHSZHJ-IBVXUOKJSA-N,C=CC1CC1(NC(=O)C1CN(S(=O)(=O)c2ccccc2Br)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1
